battery,biomass,heat,hydro,natural_gas,natural_gas_CCS,nuclear,offshore_wind,onshore_wind,pumped,solar,Line_1,Line_2,cost,emissions
216.46510381979772,158.26,235.35000000000002,1458.825,20546.816662130776,0.0,2162.904819253847,5000.002559945022,3006.4987634615773,1799.001,3586.405743129053,5.0079e-5,2.5413306e-6,5.200982844832098e9,2.13463e7
0.026595362308770035,158.26,235.35000000000002,1458.825,21990.773937350532,0.0,0.009006549522627694,5000.000317647613,3006.5016973550028,1799.001,6554.816935784373,1.6414243e-9,2.1221351e-7,5.3050028396629305e9,2.5187388e7
678.9834215235048,158.26,235.35000000000002,1458.825,20062.54745547766,0.0,2209.248143540006,6391.8727654216855,1614.628474028024,1799.001,3211.817841239925,5.3630238e-8,2.1249122e-9,5.305003404143649e9,2.0124314e7
152.79759430432466,158.26,235.35000000000002,1458.825,20557.283495639273,0.0,2162.9196749610833,5000.004418669298,3580.947980202303,1799.001,3586.4470305040813,9.750742e-5,2.1195516e-9,5.305002502270219e9,2.1040774e7
353.7751706170793,158.26,235.35000000000002,1458.825,20254.01790718691,0.0,2241.130550442192,5056.059134986598,2943.9408864763705,1799.001,3727.306804963334,0.003596279,0.0055671646,5.30500250172907e9,2.2100292e7
1135.893930039592,158.26,235.35000000000002,1458.825,18704.20378513443,0.0,2162.9183925898733,5000.00835969836,3006.4998940893556,1799.001,6496.704721375274,8.987613e-9,1.3011046e-6,5.305002768446493e9,1.885242e7
0.008756713889754405,158.26,235.35000000000002,1458.825,20842.656172983312,0.0,2162.902655408898,6663.299363373197,1336.701972644721,1799.001,3586.400661441525,1.3149962e-7,1.3465784e-7,5.305002611186439e9,1.9989548e7
322.81859025500256,158.26,235.35000000000002,1458.825,18507.18372440245,0.0,3404.8999867328184,5000.000128890112,3006.5003125681815,1799.001,4917.650255282614,4.4954746e-7,8.9986673e-7,5.30500251334117e9,1.6482268e7
0.021156081144961116,158.26,235.35000000000002,1458.825,22957.176975576233,0.0,0.0026516229221229537,6428.759520365936,1571.2440903533668,1799.001,3586.4005382643613,3.3654496e-10,1.429908e-8,5.305002627886171e9,2.6487892e7
299.00473026479233,158.26,235.35000000000002,1458.825,22727.062668067083,0.0,1.2225775947172224e-9,5018.39328676389,3015.2874848187735,1799.001,3200.0000000002933,0.012444171,1.3783758e-6,5.305002501958406e9,2.8522374e7
553.2602971971489,158.26,235.35000000000002,1458.825,19267.778250733303,0.0,2162.9597512646874,5000.00108354911,3006.50193926445,1799.001,7009.2925922734075,8.552178e-7,2.0501358e-7,5.305005141481817e9,1.8566356e7
208.5046121702214,158.26,235.35000000000002,1458.825,19404.092948076,0.0,3404.8999875060194,5000.568071104028,2999.4319335030514,1799.001,3200.000001755508,2.2050444e-5,0.0005563422,5.305002502488267e9,1.7941276e7
448.62617263079983,158.26,235.35000000000002,1458.825,21559.530755082294,0.0,0.0047921692893915235,5000.00334724849,3006.4969564659755,1799.001,6673.467105471317,1.9318433e-7,1.5144079e-10,5.305002816000759e9,2.5118094e7
